id,title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime,disney
433,Popular Mechanics for Kids,1997,0,8.4,0,0,0,1,0
434,Recess,1997,7,7.8,0,0,0,0,1
435,Shaktimaan,1997,,8.1,0,0,0,1,0
436,South Park,1997,18,8.7,81,0,1,0,0
437,South Park en Español,1997,,,0,0,1,0,0
438,Spawn,1997,18,8.1,0,0,0,1,0
439,Stargate SG-1,1997,7,8.4,0,0,1,1,0
440,The Adventures of Paddington Bear,1997,0,7.1,0,0,1,0,0
441,The Broker's Man,1997,,6.5,0,0,0,1,0
442,The History of Tom Jones,1997,,7.6,0,0,0,1,0
443,The Hunger,1997,18,6.3,0,0,0,1,0
444,The Practice,1997,16,7.7,0,0,1,0,0
445,The View,1997,16,2.6,0,0,1,0,0
446,Touching Evil,1997,,7.8,0,0,0,1,0
447,UFOs: The Best Evidence Ever (Caught on Tape),1997,,5.6,0,1,0,0,0
448,All Saints,1998,16,7,0,0,1,0,0
449,American Muscle Car,1998,0,6.8,0,0,0,1,0
450,Ancient Inventions,1998,,7.8,0,0,0,1,0
451,Beyond Belief: Fact or Fiction,1998,7,8,0,0,0,1,0
452,Caillou,1998,0,4.1,0,0,1,1,0
453,Charmed,1998,16,7.1,75,1,0,0,0
454,Cold Feet,1998,7,8.2,82,0,0,1,0
455,Cold Squad,1998,16,6.9,0,0,1,1,0
456,Cowboy Bebop,1998,18,8.9,0,0,1,0,0
457,Dawson's Creek,1998,16,6.6,0,0,1,1,0
458,頭文字D First Stage,1998,7,8.4,0,0,1,0,0
459,Egypt (1998),1998,,8.3,0,0,0,1,0
460,Great Expectations,1998,18,7.2,37,0,0,1,0
461,Hercules,1998,0,6.6,0,0,0,0,1
462,Highlander: The Raven,1998,7,5.3,0,0,0,1,0
463,House Doctor,1998,,4.8,0,1,0,0,0
464,It's A Miracle,1998,,,0,0,0,1,0
465,Kings in Grass Castles,1998,,,0,0,0,1,0
466,L.A. Cops,1998,,,0,0,0,1,0
467,Little Men,1998,,7.5,0,0,0,1,0
468,Liverpool 1,1998,7,7,0,0,0,1,0
469,Louis Theroux's Weird Weekends,1998,16,8.5,0,1,0,0,0
